objectid,title,File Status,display_template,object_location,identifier,type,latitude,longitude,date,Recorded Date 2,Recorded Date 3,Run Time HH:MM:SS:MS,Tags,Speaker,Incident,Mentioned Institutions,Mentioned Individuals,Locations,description,subject
,Adrienne on KAZY Radio,Uploaded,,,13,,,,1989-08-20,,,,"Adrienne Anderson,Radio",,,,,,"Denver Water Board; Kassler Water Treatment Plant; Friendly Hills; over 30 years of contamination with no government protection despite laws in place to prevent this problem; 2.5x rate of childhood cancer; red water coming out of taps; Brush Creek; Filter Gulch; hydrazine; records dating back to 1959; ""good ol' boy network"" collusion; Denver water board aided and abetted poisoning of its water supply; multiple government officers previously worked for Martin Marietta; chemical burns from Chatfield recreational area; only part 1",
,Peter Boyles Show - AA,Uploaded,,,14,,,,1996-03-07,,,,"Adrienne Anderson,Radio",,,,,,Eagle Crest; very short conversation only on A side,
,"Peter Boyles Show, Adrienne Anderson",Uploaded,,,15,,,,1996-05-13,,,,"Adrienne Anderson,Radio",,,,,,"Colorado Open Records Act; Lowry Bombing Range; retaliation; City of Aurora; Aurora Reservoir; Mayor Tower; ammunition washing up on shore; bomb squad; catastrophic risk zone; real estate development; collusion; Lowry chemical waste dump; anonymity; Cooper, Alpert, Miller; MGA Thompson and Associates; censorship; propaganda; lobbying; infliltration of community organization groups; callers",
,AA's Students Mtg w- CU President + Boulder Chancellor; AA's Address at CHEM 140,Not Started,,,16,,,,1996-06-04,,,,Adrienne Anderson,,,,,,,
,"Buckley Field - Lowry Bombing Range Mtg, Eagle Crest N.S. Aurora, CO",Not Started,,,17,,,,1996-03-06,,,,Lowry,,,,,,,
,Buckley Field - Lowry Bomb Range mtg; Eagle Crest H.5. Tape 2,Not Started,,,18,,,,1996-03-06,,,55:27:00,Lowry,,,,,,,
,Lowry AFB Closing Redevelopment Commission Mtg. - aka Lowry Economic REcovery Project mtg.,Not Started,,,19,,,,1993-06-23,,,,Lowry,,,,,,,
,"Rocky Flats Water Contamination Biomed Waster Incinerator, Ken Hamblen Show",Uploaded,,,20,,,,1989-05-07,1989-05-24,,,Rocky Flats,,,,,,,
,"Colo Haz Waste Incin. Advis. Comm., Public Health & Safety, Ecological & Economic Impacts Subcommittee",Not Started,,,21,,,,1991-09-04,,,,,,,,,,,
,"Bonnie Exner, Chris Wiant ",Not Started,,,22,,,,1989-07-08,1989-07-10,,,,,,,,,,
,"CDH-DPS Garden Place end-Brian Tokar - ""Creating an Ecological Future"" (side 2)",Not Started,,,23,,,,1989-09-05,1989-10-26,,,,,,,,,,
,Solange Frenex,Not Started,,,24,,,,1989-11-04,,,,,,,,,,,
,"Rocky Mtn Arsenal Public Mtg., Offsite Water Contamination to North",Digitized,,,25,,,,1990-05-30,,,,Rocky Mountain Arsenal,,,,,,,
rmpjc26,Phil -> Mike O'Keefe Interview,Transcribed,audio,,26,sound,,,1989-08-16,,,,,"Mike O'Keeffe,Phil Hufford","Rocky Flats,Movement Politics,Encirclement","Denver Region Greens, National Toxics Campaign,Colorado Peace Network,Rocky Flats Alliance,American Friends Service Committee,Colorado Freeze Voter,Comittee Against Radio Toxic Pollution,Rocky Flats Action Group,Martin Marietta","Adrienne Anderson,Paula Elofson Gardine,Susan Hurst,Lisa Crawford,Joan Seaman,Harvey Nichols,Steve Perry,Tom Rowe,Laura Lefkowitz,Kim Grice,Jan Pilcher",Standley Lake; Great Western Reservoir; Rocky Flats,"in-fighting, propaganda, strategy, off-record",Mike O'Keeffe; Phil Hufford; Rocky Flats; Movement Politics; Encirclement; Denver Region Greens; National Toxics Campaign; Colorado Peace Network; Rocky Flats Alliance; American Friends Service Committee; Colorado Freeze Voter; Comittee Against Radio Toxic Pollution; Rocky Flats Action Group; Martin Marietta; Adrienne Anderson; Paula Elofson Gardine; Susan Hurst; Lisa Crawford; Joan Seaman; Harvey Nichols; Steve Perry; Tom Rowe; Laura Lefkowitz; Kim Grice; Jan Pilcher; Standley Lake; Great Western Reservoir; Rocky Flats
,"Christie Institute Exec. Dir. Sarah Jenson, Boulder, CO",Digitized,,,27,,,,1988-04-24,,,,Christie Institute,,,,,,Y,
rmpjc28,"Brian Tokar - QTA - ""Creating An Ecological Future""",Transcribed,video,,28,sound,,,1989-10-26,,,,"Brian Tokar,Talk,Q&A,short",,,,,,"international development, separation between man and nature",
,Rene Heredia KBNO,Uploaded,,,29,,,,1989-01-06,,,,"Rene Heredia,Spanish Language,Radio",,,,,,Y,
,Intro Greens Program,Digitized,,,30,,,,Invalid Date,,,,,,,,,,Y,
,Romer Press Conf. ,Digitized,,,31,,,,1990-05-01,,,,Rocky Flats,,,,,,,
,"KBX Radio: Phil + Denver Region Greens; Debbie Ortega, Big Mtn, Ku Klux Klan",Not Started,,,32,,,,1989-10-25,1989-10-26,,,,,,,,,Y,
,"Alan Dumas Show, KBXG - Denver Region Greens - Phil, Janette, Quill (full hour)",Digitized,,,33,,,,Invalid Date,,,,,,,,,,Y,
,RMA Army Shell IRA Mtg Basin F Liquid SQI Tape 1,Not Started,,,34,,,,1990-01-11,,,,Rocky Mountain Arsenal,,,,,,,
,"RMA SQI IRA Mtg Army Shell, Tape 2",Digitized,,,35,,,,1990-01-11,,,,Rocky Mountain Arsenal,,,,,,,
,"EPA Rocky Mtn Arsenal NPDES Hearing, Tape 1",Digitized,,,36,,,,1990-03-21,,,,Rocky Mountain Arsenal,,,,,,,
rmpjc37,Denver City Council Hearing Bio Waste Incinerator - Certificate of Designation Tape 1 (COPY),Transcribed,video,,37,sound,39.78210515,-104.9590042,1989-11-13,,,,Bio waste incineration,"Andreole Stajcar,Chris Barnes,Mark Belkin,Mary Blue,Tom Bernard,Debbie Gomez,Kathleen Lennon,Hannah Scholawski,Lorraine Granado,Andrew Kelly,Mike Mays,Phil Hernandez,Stephanie Foote,Phil Hufford,Vince Damian,Jennifer Gonzales,Vi Swenson,Jerry Kite,Doug Linkart,Steve Schweitzberger,Terry Stewart,Andy Lowey,Jack Patterson,Ramona Martinez,Bill Roberts",Hazardous Waste Incineration,"United Mine Workers of America,Communication Workers of America,Colorado Jobs with Justice Coalition,Neighbors for a Toxic Free Community,United Swansea,Asarco,United Seniors Colorado, National Toxics Campaign,Martin Marietta,Colorado Department of Health,Board of Health and Hospitals,Environmental Protection Agency",Federico Peña,Swansea; Rocky Mountain Arsenal; Dacono; Stapleton Project; Globeville; Elyria,Y,Bio waste incineration;	Andreole Stajcar; Chris Barnes; Mark Belkin; Mary Blue; Tom Bernard; Debbie Gomez; Kathleen Lennon; Hannah Scholawski; Lorraine Granado; Andrew Kelly; Mike Mays; Phil Hernandez; Stephanie Foote; Phil Hufford; Vince Damian; Jennifer Gonzales; Vi Swenson; Jerry Kite; Doug Linkart; Steve Schweitzberger; Terry Stewart; Andy Lowey; Jack Patterson; Ramona Martinez; Bill Roberts; Hazardous Waste Incineration; United Mine Workers of America; Communication Workers of America; Colorado Jobs with Justice Coalition; Neighbors for a Toxic Free Community; United Swansea; Asarco; United Seniors Colorado; National Toxics Campaign; Martin Marietta; Colorado Department of Health; Board of Health and Hospitals; Environmental Protection Agency; Federico Peña; 	Swansea; Rocky Mountain Arsenal; Dacono; Stapleton Project; Globeville; Elyria; Council Meeting
rmpjc38,Denver City Council Mtg - Certificate of Designation Tape 2 (COPY),Transcribed,video,,38,sound,39.78210515,-104.9590042,1989-11-13,,,,Bio waste incineration,"Andy Lowey,Terry Stewart,Bill Roberts,Stephanie Foote,Dorothy,Debbie Ortega,Lorraine Granado,Joshua Pell,David Doering,Sterling Drumwright,Jack Patterson,Cathy Reynolds,Robert Crider,Hiawatha Davis,Tony Massaro,Mary DeGroot,William Scheitler,Ramona Martinez",Hazardous Waste Incineration,"Bio Waste Services,Wixco,RX Thermal,United Swansea,Asarco",,,Y,Bio waste incineration; Andy Lowey; Terry Stewart; Bill Roberts; Stephanie Foote; Dorothy; Debbie Ortega; Lorraine Granado; Joshua Pell; David Doering; Sterling Drumwright; Jack Patterson; Cathy Reynolds; Robert Crider; Hiawatha Davis; Tony Massaro; Mary DeGroot; William Scheitler; Ramona Martinez; Hazardous Waste Incineration; Bio Waste Services; Wixco; RX Thermal; United Swansea; Asarco; Council Meeting	
,Denver City Council Mtg - Certificate of Designation Tape 2,Not Started,,,39,,,,1989-11-13,,,,Bio waste incineration,,,,,,,
,"Nader-Rosen Debate, Denver",Uploaded,,,40,,,,1990-02-22,,,,"Mike Rosen,Ralph Nader",,,,,,Y,
,Carl Johnson Memorial Panel PSR Conversation,Uploaded,,,41,,,,1990-03-23,,,,"Carl Johnson,Talk",,,,,,supicious death,
,"Melinda Kassen, Tom Bernard on W. Mitchell Show - KUVO",Uploaded,,,42,,,,1989-05-29,,,,Radio,,,,,,,
,"""High Coin"" - West Coast Experimental Pop Art Band",Uploaded,,,43,,,,,,,,,,,,,,,
rmpjc44,Alan + Evelyn Kieser & Tony Massaro ,Transcribed,video,,44,sound,,,1989-07-17,1989-07-21,,,,,,,,,,
rmpjc45,"Sue Hurst + Paula Elofson-Gardine 7/5/89, Pete + Cherry Chavez 7/5/89",Transcribed,video,,45,sound,,,1987-07-05,,,,"Rocky Flats,Susan Hurst,Paula Elofson-Gardine",,,,,,"Sue Hearst: hydrocephalic condition of child through re-roofing work at Rocky Flats and send tear-off to county landfill; EPA tested dust so crew knew what facing but wouldn't share results; didn't know about Rocky Flats but lived in Arvada with plutonim contamination; Doctors gave news over phone; something like 3 mile island would lead to condition. recommend residents submit to birth defect registry and vote out cullding incumbents; role of govt and callus disregard; bad smells at night with Coors trucks spraying something (1987) so called in FBI. Paula EG: Poly-health crisis, comparative data plutonium in drinking water not normal; Official Exchange Meetings Co Dept Helath, RF operators, Broomfield, Arvada, Westminister, Rockwell, EPA, normalizing radiation. ",Rocky Flats; Susan Hurst; Paula Elofson-Gardine
,Colo Haz Waste Incin. Advis. Committee Subcommittees - Haz Waste Mgmt. (Tape 1),Uploaded,,,46,,,,1991-09-04,,,,Colorado Hazardous Waste Incinerator,,,,,,Meta conversation about purpose/intent of recording; national toxics campaign,
rmpjc47,Colo Haz Waste Incin. Advis. Committee Subcommittee Mtg - Haz Waste Mgmt.  Statutes + Regs (Tape 1),Transcribed,video,,47,sound,39.78210515,-104.9590042,1991-08-28,,,,Colorado Hazardous Waste Incinerator,,,,,,,Colorado Hazardous Waste Incinerator
,Colo Haz Waste Incin. Advis. Committee Subcommittees - Haz Waste Mgmt. (end) Statutes and Regs (begin) Local Gov't (Tape 2),Uploaded,,,48,,,,1991-09-04,,,,Colorado Hazardous Waste Incinerator,,,,,,,
rmpjc49,"Colo Haz Waste Incin. Advis. Committee Subcomm:  Local Gov 4, Public Health + Safety, Ecological + Economic (Tape 3)",Transcribed,video,,49,sound,39.78210515,-104.9590042,1991-09-04,,,,Colorado Hazardous Waste Incinerator,,,,,,,Colorado Hazardous Waste Incinerator
rmpjc50,"Colo Haz Waste Incin. Advis. Committee Subcomm:  Local Gov't, Public Health + Safety, Ecological Risks Mtg. (Tape 3)",Transcribed,video,,50,sound,39.78210515,-104.9590042,1991-08-28,,,,Colorado Hazardous Waste Incinerator,,,,,,Includes people introducing themselves,Colorado Hazardous Waste Incinerator
,"Colo Haz Waste Incin. Advis. Committee Subcomm: Public Health + Safety, Ecological + Economic Impacts (Tape 4)",Uploaded,,,51,,,,1991-09-04,,,,Colorado Hazardous Waste Incinerator,,,,,,,
,"Colo Haz Waste Incin. Advis. Committee Subcomm:  Public Health + Safety, Ecological Risks = Economic Considerations  (Tape 4)",Uploaded,,,52,,,,1991-08-28,,,,Colorado Hazardous Waste Incinerator,,,,,,,
,"NTC + Other Groups Incinerator News Conference (51st and York St., Denver)",Uploaded,,,53,,,,1970-01-01,,,,"Colorado Hazardous Waste Incinerator,Adrienne Anderson,National Toxics Campaign",,,,,,,
,"Florence CO incin. public mtg, (Tape 2); Penrose CO incinerator Mtg, (Tape 1)",Not Started,,,54,,,,1991-03-08,1991-03-09,,,"Incinerator,Public Meeting",,,,,,,
,Colo Haz Waste Incin. Advis. Committee Subcommittee Mtg - Haz Waste Mgmt.  Statutes + Regs (Tape 2),Not Started,,,55,,,,1991-08-28,,,,Colorado Hazardous Waste Incinerator,,,,,,,
rmpjc100,RMA IRA Hearing Army Shell Tape 1,Transcribed,video,,,sound,39.83851437,-104.8499503,1990-01-11,,,,Rocky Mountain Arsenal,"Bill Thomas,Daniel Voss,Donald Campbell,Bob Duprey,Jeff Edson,Mike Anderson,Phil Hufford,Joanna Tischler,Davis Busby",Basin F Cleanup,"Rocky Mountain Arsenal,Environmental Protection Agency,Shell Oil Company,Colorado Department of Health, National Toxics Campaign,Citizens Against Contamination",,,,Rocky Mountain Arsenal; Bill Thomas; Daniel Voss; Donald Campbell; Bob Duprey; Jeff Edson; Mike Anderson; Phil Hufford; Joanna Tischler; Davis Busby; Basin F Cleanup; Rocky Mountain Arsenal; Environmental Protection Agency; Shell Oil Company; Colorado Department of Health; National Toxics Campaign; Citizens Against Contamination
,Rocky Flats Impact On Standley Lake and Great Western Reservoir,Uploaded,,,57,,,,1990-06-13,,,,Rocky Flats,,,,,,,
,Gary Tessler Show KBXG,Uploaded,,,58,,,,1989-06-13,,,,"Rocky Flats,Radio",,,,,,,
,Peter Boyles Show KBXG / Kim Grice Rocky Flats / Gary Tessler Show KBXG,Uploaded,,,59,,,,1989-06-13,,,,"Rocky Flats,Radio",,,,,,,
,"Bob McFarlane, Bob Nelson, Phil Warner, Rocky Flats Plutonium ducts hearing",Uploaded,,,60,,,,1990-06-25,,,,,,,,,,,
,Terra Infirma Endangered Species Rocky Flats,Uploaded,,,61,,,,1989-07-11,,,,,,,,,,,
rmpjc62,Rocky Flats Monitoring Council Roy Romer,Transcribed,video,,62,sound,39.89413892,-105.2326597,1989-06-27,,,,,"Niels Schonbeck,Sam Williams,Bill Bailey,Beverly Honey,Ted Boris,Melinda Kassen,John Stevenson,George Fedoronko,Roy Romer","Rocky Flats,Hazardous Waste Incineration","Colorado Department of Health,Department of Energy,Water Quality Control Commission,Environmental Protection Agency,Waste Isolation Pilot Project,Rockwell,Federal Bureau of Investigation, National Toxics Campaign,Martin Marietta","Jim Wilson,David Skaggs,Duane Woodard,Tom Vernon",Rocky Flats; Woman Creek; Walnut Creek; Pond Creek; Standley Lake; Great Western Reservoir,,
,Rocky Flates Rally at Colorado State Capitol (Copy),Uploaded,,,63,,,,1989-08-06,,,,,,,,,,Parody commercial,
rmpjc64,"Marge Culbert 6/30/89, Paula Elofson Gardine 7/5/89, Susan Hurst 6/5/89",Transcribed,video,,64,sound,,,1989-06-30,1989-07-05,1989-06-05,,,"Paula Elofson Gardine,Marge Culbert,Phil Hufford","Hazardous Waste Incineration,Rocky Flats,Collusion","Asarco,Purina,Conoco,Weaver Electric,Public Service Company / Xcel,Chem-Nuclear,Concerned Health Technicians for Cleaner Colorado,Rockwell,Department of Energy,Colorado Freeze Voter","Dave Doering,Debbie Ortega,Sal Carpio,Roy Romer,Phil Hernandez,Tom Vernon,Harvey Nichols,Federico Peña",Swansea; Sand Creek; Dacono; Rocky Flats; Standley Lake; Great Western Reservoir; Lamar; Sterling; Woman Creek; Walnut Creek,,
rmpjc65,"Mike Hope 7/14/89, Leroy Moore 7/14/89, Alan+Evelyn Kieser 7/17/89",Transcribed,video,,65,sound,,,1989-07-14,1989-07-17,,,,,,,,,,
,Phil -> Adrienne,Uploaded,,,66,,,,1989-03-22,1989-03-23,,,,,,,,,"Incredibly intimate, do not recommend including in the archive. I think we should try to contact Phil first rather than Adrienne's family",
,The Silent Conspiracy on George Webbers Flipside Program KOA Radio AA + Kathy Renaud Tape 1,Uploaded,,,67,,,,1990-07-12,,,,Radio,,,,,,,
,Ken Hamblin (KBXO Radio) 12/19/89 Adrienne 12/20/89 Doug Vaughn,Uploaded,,,68,,,,1989-12-19,1989-12-20,,,"Radio,Q&A",,,,,,Side B is mostly about American coup in Panama,
,Denver City Council Meeting 11/13/89 - Biowaste + Certificate of Designation (COPY),Not Started,,,69,,,,1989-11-13,,,,,,,,,,,
,Denver City Council Hearing - Biowaste Incinerator - Certificate of Designation 11/13/89,Not Started,,,70,,,,1989-11-13,,,,,,,,,,,
rmpjc71,"Beth Gallegos 7/6/89, Bonnie Exner 7/8/89",Transcribed,video,,71,sound,39.64463502,-104.7043789,1989-07-06,1989-07-08,,,,"Beth Gallegos,Phil Hufford,Bonnie Exner","Lowry Landfill,Friendly Hills,Basin F Cleanup","Citizens Against Contamination,Colorado Department of Health,Citizens Intelligence Network,Chemical Waste Management,Citizens Against Lowry Landfill,Environmental Protection Agency,Martin Marietta,Denver Water Board,Friendly Hills Health Action Group,Metropolitans Organized for People,Poison Arsenal Neighbors of the Irondale Community","Anne Gorsuch Burford,Gerald Coppola,William McNichols,Steve Durham,Richard Lamm,Pam Weldon,Becky Parr,Beth Gallegos,Jeff Edson",Aurora; Lowry Landfill; Unnamed Creek; Friendly Hills; Kassler Water Treatment Plant; Harriman Park; Brush Creek; Irondale Mobile Home Park,,
,Solange Frenex 11/4/89,Uploaded,,,72,,,,1989-11-04,,,,,,,,,,,
,"Bonnie Exner 7/8/89, Chris Wiant 7/10/89",Uploaded,,,73,,,,1989-07-08,1989-07-10,,,,"Phil Hufford,Bonnie Exner,Chris Wiant","Rocky Mountain Arsenal,Friendly Hills,Basin F Cleanup","Colorado Department of Health,Environmental Protection Agency,Citizens Against Contamination,Martin Marietta,Citizens Against Lowry Landfill,Metropolitans Organized for People,Friendly Hills Health Action Group,Poison Arsenal Neighbors of the Irondale Community, National Toxics Campaign,Citizens Intelligence Network,Colorado Citizen Action Network,Tri County Health Department,Agency for Toxic Substance and Disease Registry,Chemical Waste Management","Roy Romer,Ira Daigle,Tom Vernon,Anne Gorsuch Burford,Pat Schroeder,Adrienne Anderson,Duane Woodard,Pam Weldon,Deb Schroth","Irondale Mobile Home Park,Brush Creek,Harriman Park,Friendly Hills,Lowry Landfill,Sand Creek,Kassler Water Treatment Plant,Standley Lake",,
,Edith Taylor Canvassing Tips,Uploaded,,,74,,,,,,,,,,,,,,,
,Steve Work + Ed Ruetz 7/12/89; Mike Hope 7/14/89,Not Started,,,75,,,,,,,,,,,,,,,
,"The Silent Conspiracy on Geo. Webber Show, KOA Radio 7/12/90 Tape 2",Not Started,,,76,,,,,,,,,,,,,,,
,Don Reans’s 6/21/90,Not Started,,,77,,,,,,,,,,,,,,,
,"Ken Hamblin Show w/ Gov. Roy Romer, KBXG Radio 12/19/89; Ken Hamblin Show 12/20/89; Panama Invasion (first hour)",Not Started,,,78,,,,,,,,,,,,,,,
